CODE,en_US,zh_Hans,zh_TW,es_ES,hu_HU,de_DE,fr_FR,nl_NL,pt_BR,ja_JP,pt_PT,it_IT,ru_RU,pl_PL,sv_SE,ko_KR
_L_ON,ON,开,開,SI,BE,AN,ACTIVÉ,AAN,LIGADO,オン,SIM,SI,Включено,WŁ,PÅ,켜짐
_L_OFF,OFF,关,關,NO,KI,AUS,DÉSACTIVÉ,UIT,DESLIGADO,オフ,NÃO,NO,Выключено,WYŁ,AV,꺼짐
_L_ON_F,[ON],[开],[開],[SI],[BE],[AN],[ACTIVÉ],[AAN],[LIGADO],[オン],[SIM],[SI],[Вкл],[WŁ],[PÅ],[켜짐]
_L_OFF_F,[OFF],[关],[關],[NO],[KI],[AUS],[DÉSACTIVÉ],[UIT],[DESLIGADO],[オフ],[NÃO],[NO],[Выкл],[WYŁ],[AV],[꺼짐]
_L_BACK,Back,返回,返回,[Atrás],Vissza,Zurück,Retour,Terug,Voltar,戻る,Voltar,Indietro,[Назад],Wróć,Tillbaka,뒤로
_L_ERR,Error,错误,錯誤,Error,Hiba,Fehler,Erreur,Fout,Erro,エラー,Erro,Errore,Ошибка,Błąd,Fel,오류
_L_ERR_CODE,Error Code,错误码,錯誤碼,Código error,Hibakód,Fehlercode,Code d'Erreur,Foutcode,Código de Erro,エラーコード,Código de erro,Codice Errore,Код ошибки,Kod błędu,Felkod,오류 코드
_L_FAILED,Failed,失败,失敗,Fallido,Sikertelen,Fehlgeschlagen,Échoué,Mislukt,Falhou,失敗,Falhou,Fallito,Неудачно,Niepowodzenie,Misslyckades,실패
_L_BYTES,Bytes,字节,字節,Bytes,Bájt,Bytes,Octets,Bytes,Bytes,バイト,Bytes,Byte,Байт,Bajtów,Byte,바이트
_L_APP_AMIIBO,Amiibo Emulator,Amiibo模拟,Amiibo模擬,Emulador Amiibo,Amiibo emulátor,Amiibo Emulator,Émulateur Amiibo,Amiibo Emulator,Emulador Amiibo,Amiibo エミュ,Emulador Amiibo,Emulatore Amiibo,Эмулятор Amiibo,Amiibo Emulator,Amiibo Emulator,Amiibo 에뮬레이터
_L_APP_AMIIBOLINK,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink
_L_APP_BLE,BLE File Transfer,蓝牙传文件,藍牙傳文件,Transferencia Archivos BLE,BLE fájlátvitel,BLE Dateiübertragung,Transfert de Fichiers BLE,BLE Bestandsoverdracht,Transf. Arq. BLE,BLE ファイル転送,Transf. Fich. BLE,Trasferimento file BLE,Передача файлов по BLE,Transfer plików BLE,BLE-filöverföring,BLE 파일 전송
_L_APP_BLE_TITLE,BLE File Transfer,蓝牙文件传输,藍牙文件傳輸,Transferencia Archivos BLE,BLE fájlátvitel,BLE Dateiübertragung,Transfert de Fichiers BLE,BLE Bestandsoverdracht,Transf. Arq. BLE,BLE ファイル転送,Transf. Fich. BLE,Trasferimento file BLE,Передача файлов по BLE,Transfer plików BLE,BLE-filöverföring,BLE 파일 전송
_L_APP_PLAYER,Video Player,视频播放,視頻播放,Reproductor de Video,Videólejátszó,Videoplayer,Lecteur Vidéo,Videospeler,Reprodutor de Vídeo,ビデオプレーヤー,Reprodutor de vídeo,Lettore video,Видеопроигрыватель,Odtwarzacz wideo,Videospelare,비디오 플레이어
_L_APP_SET,Settings,系统设置,系統設置,Ajustes,Beállítások,Einstellungen,Paramètres,Instellingen,Configurações,設定,Definições,Impostazioni,Настройки,Ustawienia,Inställningar,설정
_L_APP_SET_VERSION,Version,版本信息,版本信息,Versión,Verzió,Version,Version,Versie,Versão,バージョン,Versão,Versione,Версия,Wersja,Version,버전
_L_APP_SET_STORAGE_USED,Used,已用,已用,Usado,Használt,Verwendet,Utilisé,Gebruikt,Usado,使用済み,Usado,Usato,Использовано,Użyte,Använt,사용됨
_L_APP_SET_STORAGE,External Storage,外部存储,外部存儲,Almacenamiento Externo,Külső tárhely,Externer Speicher,Stockage Externe,Externe Opslag,Armazenamento Externo,外部ストレージ,Armazenamento Externo,Archiviazione esterna,Внешнее хранилище,Pamięć zewnętrzna,Externt lagringsutrymme,외부 저장소
_L_APP_SET_OLED_CONTRAST,Contrast,对比度,對比度,Contraste,Kontraszt,Kontrast,Contraste,Contrast,Contraste,コントラスト,Contraste,Contrasto,Контрастность,Kontrast,Kontrast,대비
_L_APP_SET_OLED_CONTRAST_TITLE,Contrast,显示对比度,顯示對比度,Contraste,Kontraszt,Kontrast,Contraste,Contrast,Contraste,コントラスト,Contraste,Contrasto,Контрастность,Kontrast,Kontrast,대비
_L_APP_SET_LCD_BACKLIGHT,Backlight,背光亮度,背光亮度,Luz de fondo,Háttérvilágítás,Hintergrundbeleuchtung,Rétroéclairage,Achtergrondverlichting,Luz de Fundo,バックライト,Luz de fundo,Retroilluminazione,Подсветка,Podświetlenie,Bakgrundsbelysning,백라이트
_L_APP_SET_LCD_BACKLIGHT_TITLE,Backlight Brightness,背光亮度,背光亮度,Brillo,Háttérvilágítás fényereje,Helligkeit,Luminosité,Helderheid,Brilho,バックライトの明るさ,Brilho da luz de fundo,Luminosità retroilluminazione,Яркость подсветки,Jasność podświetlenia,Ljusstyrka,백라이트 밝기
_L_APP_SET_ANIM,Menu Animation,菜单动画,菜單動畫,Animación Menú,Menü animáció,Menüanimation,Animation du Menu,Menu-animatie,Animação do Menu,メニューのアニメ,Animação do menu,Animazione menu,Анимация меню,Animacja menu,Menyanimering,메뉴 애니메이션
_L_APP_SET_LIPO_BAT,LiPO Battery,锂电池,鋰電池,Batería LiPO,LiPO akkumulátor,LiPO-Batterie,Batterie LiPO,LiPO Batterij,Bateria LiPO,LiPO バッテリー,Bateria LiPO,Batteria LiPO,Аккумулятор LiPO,Bateria LiPO,LiPO-batteri,LiPO 배터리
_L_APP_SET_SHOW_MEM_USAGE,Memory Used,内存占用,內存占用,Memoria Usada,Memóriahasználat,Verwendeter Speicher,Mémoire Utilisée,Geheugengebruik,Memória Usada,メモリ使用量,Memória usada,Memoria utilizzata,Использование памяти,Użycie pamięci,Minnesanvändning,메모리 사용량
_L_APP_SET_HIBERNATE,Fast Wakeup,快速启动,快速啟動,Reactivación Rápida,Gyors ébresztés,Schnelles Aufwachen,Réveil Rapide,Snel Ontwaken,Despertar Rápido,高速起動,Início rápido,Risveglio rapido,Быстрое пробуждение,Szybkie wybudzanie,Snabbväckning,빠른 깨우기
_L_APP_SET_SLEEP_TIMEOUT,Sleep Timeout,休眠时间,休眠時間,Tiempo de Espera,Alvás időtúllépés,Ruhezustand-Timeout,Délai de Veille,Slaap Time-out,Tempo de Suspensão,スリープ時間,Tempo de espera,Timeout sospensione,Время до сна,Czas uśpienia,Vilolägestid,절전 시간
_L_APP_SET_LANGUAGE,Language,语言设置,語言設置,Idioma,Nyelv,Sprache,Langue,Taal,Idioma,言語,Idioma,Lingua,Язык,Język,Språk,언어
_L_APP_SET_GO_SLEEP,Go Sleep,进入休眠,進入休眠,Ir a Dormir,Alvás,Ruhezustand,Mettre en Veille,Slaapstand,Modo de Suspensão,スリープ,Suspender,Sospendi,Сон,Uśpij,Viloläge,절전 모드
_L_APP_SET_DFU,Firmware Update,固件升级,固件升級,Actualizar Firmware,Firmware frissítés,Firmware-Update,Mise à Jour du Firmware,Firmware-update,Atualização de Firmware,FW 更新,Atualização de Firmware,Aggiornamento firmware,Обновление прошивки,Aktualizacja oprogramowania,Uppdatera firmware,펌웨어 업데이트
_L_APP_SET_REBOOT,System Reboot,系统重启,系統重啓,Reiniciar Sistema,Rendszer újraindítása,Systemneustart,Redémarrage Système,Systeem Herstarten,Reiniciar Sistema,再起動,Reiniciar o sistema,Riavvio del sistema,Перезагрузка системы,Restart systemu,Starta om systemet,시스템 재부팅
_L_APP_SET_RESET_DEFAULT,Reset Default Setting,恢复默认设置,恢復默認設置,Restablecer Ajustes,Alapértelmezések visszaállítása,Standardeinst. wiederherstellen,Réinitialiser les Paramètres,Standaardinstellingen Herstellen,Redefinir Padrão,設定の初期化,Repor definições,Ripristina impostazioni,Сброс настроек,Przywróć ustawienia domyślne,Återställ standardinställningar,기본값 재설정
_L_APP_SET_RESET_DEFAULT_SUCCESS,Reset Success!,恢复成功!,恢復成功!,¡Restablecimiento Exitoso!,Visszaállítás sikeres!,Zurücksetzen erfolgreich!,Réinitialisation Réussie!,Reset Geslaagd!,Redefinição Bem-sucedida!,初期化しました,Reposto com sucesso!,Ripristino riuscito!,Сброс выполнен!,Zresetowano pomyślnie!,Återställning lyckades!,재설정 성공!
_L_APP_SET_RESET_DEFAULT_CONFIRM,Confirm Reset Settings?,确认恢复默认设置?,確認恢復默認設置?,¿Confirmar Restablecimiento?,Megerősíti a visszaállítást?,Einstellungen zurücksetzen?,Confirmer la Réinitialisation ?,Instellingen Herstellen?,Confirmar Redefinição?,設定を初期化しますか？,Confirmar reposição?,Confermare il ripristino?,Сбросить настройки?,Potwierdź reset ustawień?,Bekräfta återställning?,설정을 초기화할까요?
_L_APP_SET_ABOUT,About Device,关于设备,關於設備,Acerca del Dispositivo,Eszköz névjegye,Über das Gerät,À Propos de l'Appareil,Over Apparaat,Sobre o Dispositivo,デバイスについて,Sobre o dispositivo,Info dispositivo,Об устройстве,O urządzeniu,Om enheten,기기 정보
_L_APP_SET_ABOUT_OPEN_SOURCE_PROJECT,Open Source Project,开源项目,開源項目,Proyecto de Código Abierto,Nyílt forráskódú projekt,Open-Source-Projekt,Projet Open Source,Open Source Project,Projeto de Código Aberto,オープンソース,Projeto de código aberto,Progetto Open Source,Open Source проект,Projekt Open Source,Öppen källkodsprojekt,오픈 소스 프로젝트
_L_APP_SET_ABOUT_LGPL_LICENSE,GPL 2.0 License,GPL 2.0 协议,GPL 2.0 協議,Licencia GPL 2.0,GPL 2.0 Licenc,GPL 2.0 Lizenz,Licence GPL 2.0,GPL 2.0 Licentie,Licença GPL 2.0,GPL 2.0 ライセンス,Licença GPL 2.0,Licenza GPL 2.0,Лицензия GPL 2.0,Licencja GPL 2.0,GPL 2.0-licens,GPL 2.0 라이선스
_L_APP_SET_APP_MGMT,App Management,应用管理,應用管理,Gestión de Apps,Alkalmazáskezelés,App-Verwaltung,Gestion des Applications,App-beheer,Gerenciamento de Apps,アプリ管理,Gestão de aplicações,Gestione app,Управление приложениями,Zarządzanie aplikacjami,Apphantering,앱 관리
_L_15S,15 Seconds,15 秒,15 秒,15 Segundos,15 másodperc,15 Sekunden,15 Secondes,15 Seconden,15 Segundos,15 秒,15 Segundos,15 Secondi,15 секунд,15 Sekund,15 sekunder,15초
_L_30S,30 Seconds,30 秒,30 秒,30 Segundos,30 másodperc,30 Sekunden,30 Secondes,30 Seconden,30 Segundos,30 秒,30 Segundos,30 Secondi,30 секунд,30 Sekund,30 sekunder,30초
_L_45S,45 Seconds,45 秒,45 秒,45 Segundos,45 másodperc,45 Sekunden,45 Secondes,45 Seconden,45 Segundos,45 秒,45 Segundos,45 Secondi,45 секунд,45 Sekund,45 sekunder,45초
_L_1MIN,1 Minute,1 分钟,1 分鐘,1 Minuto,1 perc,1 Minute,1 Minute,1 Minuut,1 Minuto,1 分,1 Minuto,1 Minuto,1 минута,1 Minuta,1 minut,1분
_L_2MIN,2 Minutes,2 分钟,2 分鐘,2 Minutos,2 perc,2 Minuten,2 Minutes,2 Minuten,2 Minutos,2 分,2 Minutos,2 Minuti,2 минуты,2 Minuty,2 minuter,2분
_L_3MIN,3 Minutes,3 分钟,3 分鐘,3 Minutos,3 perc,3 Minuten,3 Minutes,3 Minuten,3 Minutos,3 分,3 Minutos,3 Minuti,3 минуты,3 Minuty,3 minuter,3분
_L_AMIIBO_KEY_UNLOADED,Amiibo Key not loaded,Key文件未加载,Key文件未加載,Clave Amiibo no cargada,Amiibo kulcs nincs betöltve,Amiibo-Schlüssel nicht geladen,Clé Amiibo Non Chargée,Amiibo-sleutel niet geladen,Chave Amiibo não carregada,Amiibo Key未読み込み,Chave Amiibo não carregada,Chiave Amiibo non caricata,Ключ Amiibo не загружен,Klucz Amiibo niezaładowany,Amiibo-nyckel inte laddad,Amiibo 키 미로드
_L_UPLOAD_KEY_RETAIL_BIN,Upload the file key_retail.bin to the root directory of the storage.,请上传 key_retail.bin 到存储根目录,請上傳 key_retail.bin 到存儲根目錄,"Suba el archivo key_retail.bin al directorio raíz del almacenamiento.","Töltse fel a key_retail.bin fájlt a tárhely gyökérkönyvtárába.","Laden Sie die Datei key_retail.bin in das Stammverzeichnis des Speichers hoch.","Téléchargez le fichier key_retail.bin dans le répertoire racine du stockage.","Upload het bestand key_retail.bin naar de hoofdmap van de opslag.","Envie o arquivo key_retail.bin para o diretório raiz do armazenamento.","key_retail.bin をルートディレクトリに保存してください","Carregue o ficheiro key_retail.bin para a raiz do armazenamento.","Caricare il file key_retail.bin nella directory principale dell'archiviazione.","Загрузите файл key_retail.bin в корневой каталог хранилища.","Prześlij plik key_retail.bin do katalogu głównego pamięci.","Ladda upp filen key_retail.bin till roten av lagringsutrymmet.",key_retail.bin 파일을 저장소 루트에 업로드하세요.
_L_KNOW,Got it,知道了,知道瞭,Entendido,Értem,Verstanden,Compris,Begrepen,Entendi,了解,Entendido,Capito,Понятно,Zrozumiałem,Uppfattat,확인
_L_RANDOM_GENERATION,Rand. Tag,随机数据,隨機數據,Tag Aleatorio,Véletlen tag,Zufälliger Tag,Tag Aléatoire,Willekeurige Tag,Tag Aleatória,ランダムタグ,Tag aleatória,Tag casuale,Случ. тег,Losowy tag,Slumpmässig tagg,랜덤 태그
_L_AUTO_RANDOM_GENERATION,Auto Rand.,自动随机,自動隨機,Aleatorio Auto,Auto véletlen,Auto-Zufall,Aléatoire Auto,Auto Willekeurig,Aleatório Auto,自動ランダム,Aleatório auto.,Casuale auto.,Авто случ.,Auto losowy,Auto slumpmässig,자동 랜덤
_L_SET_CUSTOM_ID,Set Custom ID,自定义ID,自定義ID,Establecer ID Personalizado,Egyedi ID beállítása,Benutzer-ID festlegen,Définir ID Personnalisé,Stel Aangepaste ID In,Definir ID Personalizado,カスタムID設定,Definir ID personalizado,Imposta ID personalizzato,Уст. польз. ID,Ustaw własne ID,Ange anpassat ID,ID 직접 설정
_L_INPUT_ID,Input ID,输入ID,輸入ID,Ingresar ID,ID megadása,ID eingeben,Saisir ID,Voer ID In,Inserir ID,ID入力,Inserir ID,Inserisci ID,Введите ID,Wprowadź ID,Mata in ID,ID 입력
_L_INAVLID_ID,Invalid ID,无效的ID,無效的ID,ID Inválido,Érvénytelen ID,Ungültige ID,ID Invalide,Ongeldige ID,ID Inválido,無効なID,ID inválido,ID non valido,Неверный ID,Nieprawidłowe ID,Ogiltigt ID,유효하지 않은 ID
_L_SHOW_QRCODE,Display QR Code,显示二维码,顯示二維碼,Mostrar Código QR,QR-kód megjelenítése,QR-Code anzeigen,Afficher Code QR,QR-code Weergeven,Mostrar Código QR,QRコード表示,Mostrar código QR,Mostra codice QR,Показать QR-код,Wyświetl kod QR,Visa QR-kod,QR 코드 표시
_L_READ_ONLY,Read-only,只读模式,只讀模式,Solo Lectura,Csak olvasható,Schreibgeschützt,Lecture Seule,Alleen Lezen,Somente Leitura,読み取り専用,Apenas leitura,Sola lettura,Только чтение,Tylko do odczytu,Endast läsning,읽기 전용
_L_DELETE_TAG,Delete Tag,删除文件,刪除文件,Eliminar Tag,Tag törlése,Tag löschen,Supprimer le Tag,Tag Verwijderen,Excluir Tag,タグ削除,Apagar tag,Elimina tag,Удалить тег,Usuń tag,Ta bort tagg,태그 삭제
_L_DELETE_TAG_CONFIRM,Confirm Delete %s ?,确认删除 %s ?,確認刪除 %s ?,¿Confirmar Eliminar %s ?,Biztosan törli a(z) %s-t?,%s wirklich löschen?,Confirmer la Suppression de %s ?,Bevestig Verwijderen %s ?,Confirmar Exclusão de %s ?,%s を削除しますか？,Confirmar apagar %s ?,Confermare eliminazione %s ?,Удалить %s ?,Potwierdź usunięcie %s ?,Bekräfta borttagning %s ?,%s 삭제 확인?
_L_BACK_TO_DETAILS,Back to Tag Details,返回详情页,返回詳情頁,Volver a Detalles del Tag,Vissza a tag részleteihez,Zurück zu Tag-Details,Retour aux Détails du Tag,Terug naar Tag-details,Voltar aos Detalhes da Tag,詳細に戻る,Voltar aos detalhes da tag,Torna ai dettagli tag,Назад к деталям тега,Wróć do szczegółów taga,Tillbaka till taggdetaljer,태그 상세로
_L_BACK_TO_FILE_LIST,Back to File List,返回文件列表,返回文件列表,Volver a Lista de Archivos,Vissza a fájllistához,Zurück zur Dateiliste,Retour à la Liste des Fichiers,Terug naar Bestandenlijst,Voltar à Lista de Arquivos,リストに戻る,Voltar à lista de ficheiros,Torna all'elenco file,Назад к списку файлов,Wróć do listy plików,Tillbaka till fillistan,파일 목록으로
_L_BACK_TO_MAIN_MENU,Back to Main Menu,返回主菜单,返回主菜單,Volver al Menú Principal,Vissza a főmenübe,Zurück zum Hauptmenü,Retour au Menu Principal,Terug naar Hoofdmenu,Voltar ao Menu Principal,メインに戻る,Voltar ao menu principal,Torna al menu principale,Назад в главное меню,Wróć do menu głównego,Tillbaka till huvudmenyn,메인 메뉴로
_L_FORMAT,Format,格式化,格式化,Formatear,Formázás,Formatieren,Formater,Formatteren,Formatar,フォーマット,Formatar,Formatta,Форматировать,Formatuj,Formatera,포맷
_L_FORMAT_STORAGE,Format Storage,格式化存储,格式化存儲,Formatear Almacenamiento,Tárhely formázása,Speicher formatieren,Formater le Stockage,Opslag Formatteren,Formatar Armazenamento,ストレージ初期化,Formatar armazenamento,Formatta archiviazione,Форматировать хранилище,Formatuj pamięć,Formatera lagring,저장소 포맷
_L_DELETE_ALL_DATA,This will delete all data. Confirm format?,将删除所有数据\n确认格式化?,將刪除所有數據\n確認格式化?,Esto borrará todos los datos. ¿Confirmar?,Ez törli az összes adatot. Megerősíti a formázást?,Dies löscht alle Daten. Formatierung bestätigen?,Ceci supprimera toutes les données. Confirmer ?,Dit verwijdert alle gegevens. Formatteren bevestigen?,Isso apagará todos os dados. Confirmar formatação?,全てのデータが削除されます。\\nフォーマットしますか？,Isto apagará todos os dados. Confirmar formatação?,Questo cancellerà tutti i dati. Confermare formattazione?,Это удалит все данные. Подтвердить?,To usunie wszystkie dane. Potwierdzić formatowanie?,Detta raderar all data. Bekräfta formatering?,모든 데이터가 삭제됩니다. 포맷할까요?
_L_DELETING_MESSAGE,Formatting ...,格式化中...,格式化中...,Formateando...,Formázás folyamatban...,Wird formatiert...,Formatage en cours...,Formatteren...,Formatando...,フォーマット中...,A formatar...,Formattazione...,Форматирование...,Formatowanie...,Formaterar...,포맷 중...
_L_MESSAGE,Message,信息,信息,Mensaje,Üzenet,Nachricht,Message,Bericht,Mensagem,メッセージ,Mensagem,Messaggio,Сообщение,Wiadomość,Meddelande,메시지
_L_CONFIRM,Confirm,确认,確認,Confirmar,Megerősítés,Bestätigen,Confirmer,Bevestigen,Confirmar,OK,Confirmar,Conferma,Подтвердить,Potwierdź,Bekräfta,확인
_L_CANCEL,Cancel,取消,取消,Cancelar,Mégse,Abbrechen,Annuler,Annuleren,Cancelar,キャンセル,Cancelar,Annulla,Отмена,Anuluj,Avbryt,취소
